Gegevens gemeenten 2024			Tarieven, bedragen en mutaties																																																												
© COELO, Groningen			OZB										Afvalstoffenheffing					Rioolheffing huishoudens				Rioolheffing bedrijven																	Woonlasten		Woonlasten							Toeristenbelasting			Hondenbelasting		Leges			Leges							
Provinciecode	Gemeente code	Gemeentenaam	Tarief woningen	Mutatie Tarief woningen	Tarief eigenaar niet-woning	Mutatie Tarief eigenaar niet-woning	Tarief gebruiker niet-woning	Mutatie Tarief gebruiker niet-woning	Tarief niet-woning eigenaar+gebruiker	Mutatie Tarief niet-woning eigenaar+gebruiker	Gemiddeld betaalde ozb woningen		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden	Waterverbruik 100 m3	Mutatie Waterverbruik 100 m3	waterverbruik 200 m3	Mutatie waterverbruik 200 m3	Waterverbruik 300 m3	Mutatie Waterverbruik 300 m3	Waterverbruik 400 m3	Mutatie Waterverbruik 400 m3	Waterverbruik 500 m4	Mutatie Waterverbruik 500 m4	Waterverbruik 2100 m3	Mutatie Waterverbruik 2100 m3	Waterverbruik 2500 m3	Mutatie Waterverbruik 2500 m3	Waterverbruik 6000 m3	Mutatie Waterverbruik 6000 m3	Waterverbruik 30.000 m3	Mutatie Waterverbruik 30.000 m3		Heffingskorting éénpersoonshuishouden	Heffingskorting meerpersoonshuishouden	Woonlasten éénpersoonshuishouden	Mutatie Woonlasten éénpersoonshuishouden	Woonlasten meerpersoonshuishouden	Mutatie Woonlasten meerpersoonshuishouden		Toeristenbelasting overnachting camping	Toeristenbelasting hotelovernachting	Mutatie Toeristenbelasting hotelovernachting	Hondenbelasting	Mutatie Hondenbelasting	Parkeerbelasting	Mutatie Parkeerbelasting		Paspoort	Mutatie Paspoort	Identiteitskaart	Mutatie Identiteitskaart	Rijbewijs	Mutatie Rijbewijs	Uittreksel BRP	Mutatie Uittreksel BRP
			%	%	%	%	%	%			euro		euro	%	euro	%		euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%		euro	euro	euro	%	euro	%		euro	euro	%	euro	%		%		euro	%	euro	%	euro	%	euro	%
1	1979	Eemsdelta	0.1455	2.99	0.5518	2.84	0.472	3.91	1.0238	3.33	398.4		246.26	3.42	298.31	3.69		255.95	3	255.95	3	255.95	3	255.95	3	255.95	3	255.95	3	255.95	3	255.95	3	255.95	3	255.95	3	255.95	3		0	0	900.61	3.11	952.66	3.21		1.65	1.65	3.12	0	0	0	0		77.85	0	70.35	0	51.1	14.45	0	-100
1	0014	Groningen	0.1577	9.03	0.5503	3.32	0.4403	3.27	0.9906	3.3	630.3		262.92	-0.27	373.44	-0.29		167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64	167.1	7.64		0	0	1060.32	6.35	1170.84	5.68		2.15	4	0	0	0	4.5	9.76		83.85	7.71	75.8	7.75	51.1	14.45	20.65	8.4
1	1966	Het Hogeland	0.1494	3.5	0.4756	4	0.3838	3.72	0.8594	3.88	456.01		261.38	12.2	353.34	20.94		216.93	3.3	216.93	3.3	433.86	106.6	433.86	106.6	433.86	106.6	433.86	106.6	433.86	106.6	433.86	106.6	433.86	106.6	433.86	106.6	433.86	106.6		0	0	934.32	5.75	1026.28	8.86		1	1.5	0	0	0	0	0		83.85	7.85	75.8	7.82	51.1	14.45	9.4	3.3
1	1952	Midden-Groningen	0.1721	5.39	0.4619	11.9	0.3656	13.15	0.8275	12.45	571.97		234.56	9.51	273.11	8.7		190	0	190	0	190	0	190	0	190	0	190	0	190	0	1240	79.71	1440	108.7	2940	147.06	8940	651.26		0	0	996.53	5.24	1035.08	5.19		1.3	1.6	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	10.75	3.86
1	1895	Oldambt	0.16	1.11	0.598	4.98	0.47	5.04	1.068	5.01	489.46		222.75	5.72	253.91	5.62		239.7	0.84	239.7	0.84	239.7	0.84	239.7	0.84	239.7	0.84	239.7	0.84	239.7	0.84	607.7	3.54	607.7	3.54	1251.7	4.48	5667.7	5.18		0	0	951.91	2.08	983.07	2.17		1.5	1.5	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	8	2.56
1	0765	Pekela	0.2017	4.21	0.8857	47.13	0.4421	44.87	1.3278	46.37	476.92		254.4	8.72	364.4	8.68		182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14	182.6	-1.14		0	0	913.92	4.29	1023.92	4.73		0	0	0	0	0	0	0		83.9	7.77	75.8	7.75	51.1	14.45	16.6	5.73
1	0037	Stadskanaal	0.1377	3.16	0.4449	2.45	0.3547	2.25	0.7996	2.36	434.65		217.08	7.33	274.16	9.88		188	9.3	188	9.3	188	9.3	188	9.3	188	9.3	188	9.3	188	9.3	188	9.3	188	9.3	188	9.3	188	9.3		0	0	839.73	5.55	896.81	6.4		1.5	1.5	0	0	0	0	0		83.85	7.79	75.8	7.81	51	14.22	12.2	6.09
1	0047	Veendam	0.1865	2.75	0.4895	13.61	0.3318	4.57	0.8213	9.77	480.99		323	18.88	398	19.3		172.5	9.59	172.5	9.59	172.5	9.59	172.5	9.59	172.5	9.66	264.4	7.52	264.4	7.52	723.9	5.17	907.7	4.89	1918.6	4.33	7580.6	0.09		0	0	976.49	8.84	1051.49	9.63		0	0	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	16.6	5.73
1	1969	Westerkwartier	0.123	3.6	0.2659	3.71	0.2087	7.1	0.4746	5.17	424.7		290.71	1.04	379.42	0.8		238	6.73	238	6.73	238	6.73	238	6.73	238	6.73	238	6.73	238	6.73	238	6.73	238	6.73	238	6.73	238	6.73		0	0	953.41	3.56	1042.12	3.25		0	0	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	7.5	0
1	1950	Westerwolde	0.1411	11.99	0.3104	7.09	0.1876	9.52	0.498	7.99	471.9		353.29	8.84	376.58	5.73		307	4.78	307	4.78																				0	0	1132.19	8.97	1155.48	7.93		1.25	1.25	0	0	0	0	0		83.85	7.71	75.8	7.75	51.1	14.45	8.85	4.73
2	0059	Achtkarspelen	0.1299	11.84	0.3214	1.43	0.2531	1.42	0.5745	1.42	420.6		245.28	-6.96	350.4	-6.95		220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13	220.08	13		0	0	885.96	6.17	991.08	4.61		1.5	1.5	0	0	0	0	0		83.85	7.85	75.8	7.82	51.1	14.45	16.6	5.73
