Gegevens gemeenten 2024			Tarieven, bedragen en mutaties																																																												
© COELO, Groningen			OZB										Afvalstoffenheffing					Rioolheffing huishoudens				Rioolheffing bedrijven																	Woonlasten		Woonlasten							Toeristenbelasting			Hondenbelasting		Leges			Leges							
Provinciecode	Gemeente code	Gemeentenaam	Tarief woningen	Mutatie Tarief woningen	Tarief eigenaar niet-woning	Mutatie Tarief eigenaar niet-woning	Tarief gebruiker niet-woning	Mutatie Tarief gebruiker niet-woning	Tarief niet-woning eigenaar+gebruiker	Mutatie Tarief niet-woning eigenaar+gebruiker	Gemiddeld betaalde ozb woningen		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden		Eénpersoonshuishouden	Mutatie Eénpersoonshuishouden	Meerpersoonshuishouden	Mutatie Meerpersoonshuishouden	Waterverbruik 100 m3	Mutatie Waterverbruik 100 m3	waterverbruik 200 m3	Mutatie waterverbruik 200 m3	Waterverbruik 300 m3	Mutatie Waterverbruik 300 m3	Waterverbruik 400 m3	Mutatie Waterverbruik 400 m3	Waterverbruik 500 m4	Mutatie Waterverbruik 500 m4	Waterverbruik 2100 m3	Mutatie Waterverbruik 2100 m3	Waterverbruik 2500 m3	Mutatie Waterverbruik 2500 m3	Waterverbruik 6000 m3	Mutatie Waterverbruik 6000 m3	Waterverbruik 30.000 m3	Mutatie Waterverbruik 30.000 m3		Heffingskorting éénpersoonshuishouden	Heffingskorting meerpersoonshuishouden	Woonlasten éénpersoonshuishouden	Mutatie Woonlasten éénpersoonshuishouden	Woonlasten meerpersoonshuishouden	Mutatie Woonlasten meerpersoonshuishouden		Toeristenbelasting overnachting camping	Toeristenbelasting hotelovernachting	Mutatie Toeristenbelasting hotelovernachting	Hondenbelasting	Mutatie Hondenbelasting	Parkeerbelasting	Mutatie Parkeerbelasting		Paspoort	Mutatie Paspoort	Identiteitskaart	Mutatie Identiteitskaart	Rijbewijs	Mutatie Rijbewijs	Uittreksel BRP	Mutatie Uittreksel BRP
			%	%	%	%	%	%			euro		euro	%	euro	%		euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%	euro	%		euro	euro	euro	%	euro	%		euro	euro	%	euro	%		%		euro	%	euro	%	euro	%	euro	%
1	1979	Eemsdelta	0,1455	3,0	0,5518	2,8	0,4720	3,9	1	3,3	398		246	3,4	298	3,7		256	3,0	256	3,0	256	3,0	256	3,0	256	3,0	256	3,0	256	3,0	256	3,0	256	3,0	256	3,0	256	3,0		0	0	901	3	953	3		1,65	1,65	3,1	0,00	0,0	0,00	0,0		77,85	0,0	70,35	0,0	51,10	14,5	0,00	-100,0
1	0014	Groningen	0,1577	9,0	0,5503	3,3	0,4403	3,3	1	3,3	630		263	-0,3	373	-0,3		167	7,6	167	7,6	167	7,6	167	7,6	167	7,6	167	7,6	167	7,6	167	7,6	167	7,6	167	7,6	167	7,6		0	0	1.060	6	1.171	6		2,15	4,00	0,0	0,00	0,0	4,50	9,8		83,85	7,7	75,80	7,8	51,10	14,5	20,65	8,4
1	1966	Het Hogeland	0,1494	3,5	0,4756	4,0	0,3838	3,7	1	3,9	456		261	12,2	353	20,9		217	3,3	217	3,3	434	106,6	434	106,6	434	106,6	434	106,6	434	106,6	434	106,6	434	106,6	434	106,6	434	106,6		0	0	934	6	1.026	9		1,00	1,50	0,0	0,00	0,0	0,00	0,0		83,85	7,9	75,80	7,8	51,10	14,5	9,40	3,3
1	1952	Midden-Groningen	0,1721	5,4	0,4619	11,9	0,3656	13,2	1	12,5	572		235	9,5	273	8,7		190	0,0	190	0,0	190	0,0	190	0,0	190	0,0	190	0,0	190	0,0	1240	79,7	1440	108,7	2940	147,1	8940	651,3		0	0	997	5	1.035	5		1,30	1,60	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	10,75	3,9
1	1895	Oldambt	0,1600	1,1	0,5980	5,0	0,4700	5,0	1	5,0	489		223	5,7	254	5,6		240	0,8	240	0,8	240	0,8	240	0,8	240	0,8	240	0,8	240	0,8	608	3,5	608	3,5	1252	4,5	5668	5,2		0	0	952	2	983	2		1,50	1,50	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	8,00	2,6
1	0765	Pekela	0,2017	4,2	0,8857	47,1	0,4421	44,9	1	46,4	477		254	8,7	364	8,7		183	-1,1	183	-1,1	183	-1,1	183	-1,1	183	-1,1	183	-1,1	183	-1,1	183	-1,1	183	-1,1	183	-1,1	183	-1,1		0	0	914	4	1.024	5		0,00	0,00	0,0	0,00	0,0	0,00	0,0		83,90	7,8	75,80	7,8	51,10	14,5	16,60	5,7
1	0037	Stadskanaal	0,1377	3,2	0,4449	2,5	0,3547	2,3	1	2,4	435		217	7,3	274	9,9		188	9,3	188	9,3	188	9,3	188	9,3	188	9,3	188	9,3	188	9,3	188	9,3	188	9,3	188	9,3	188	9,3		0	0	840	6	897	6		1,50	1,50	0,0	0,00	0,0	0,00	0,0		83,85	7,8	75,80	7,8	51,00	14,2	12,20	6,1
1	0047	Veendam	0,1865	2,8	0,4895	13,6	0,3318	4,6	1	9,8	481		323	18,9	398	19,3		173	9,6	173	9,6	173	9,6	173	9,6	173	9,7	264	7,5	264	7,5	724	5,2	908	4,9	1919	4,3	7581	0,1		0	0	976	9	1.051	10		0,00	0,00	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	16,60	5,7
1	1969	Westerkwartier	0,1230	3,6	0,2659	3,7	0,2087	7,1	0	5,2	425		291	1,0	379	0,8		238	6,7	238	6,7	238	6,7	238	6,7	238	6,7	238	6,7	238	6,7	238	6,7	238	6,7	238	6,7	238	6,7		0	0	953	4	1.042	3		0,00	0,00	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	7,50	0,0
1	1950	Westerwolde	0,1411	12,0	0,3104	7,1	0,1876	9,5	0	8,0	472		353	8,8	377	5,7		307	4,8	307	4,8																				0	0	1.132	9	1.155	8		1,25	1,25	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	8,85	4,7
2	0059	Achtkarspelen	0,1299	11,8	0,3214	1,4	0,2531	1,4	1	1,4	421		245	-7,0	350	-7,0		220	13,0	220	13,0	220	13,0	220	13,0	220	13,0	220	13,0	220	13,0	220	13,0	220	13,0	220	13,0	220	13,0		0	0	886	6	991	5		1,50	1,50	0,0	0,00	0,0	0,00	0,0		83,85	7,9	75,80	7,8	51,10	14,5	16,60	5,7
2	0060	Ameland	0,0672	5,9	0,1517	4,5	0,1214	4,5	0	4,5	275		178	2,0	234	2,0		150	0,0	177	0,0	166	0,0	216	0,0	266	0,0	316	0,0	366	0,0	1166	0,0	1366	0,0	3116	0,0	12500	0,0		0	0	603	3	686	3		2,00	2,00	11,1	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,7	51,10	14,5	11,25	0,0
2	1891	Dantumadiel	0,1411	0,8	0,2978	4,1	0,2317	4,1	1	4,1	530		205	0,0	256	0,0		188	0,0	188	0,0																				0	0	923	0	974	0		1,00	1,00	0,0	0,00	0,0	0,00	0,0		62,50	0,0	55,50	0,0	38,00	10,1	11,95	0,0
2	1940	De Fryske Marren	0,0877	0,8	0,2846	8,7	0,2140	8,7	0	8,7	343		236	5,8	300	4,9		125	0,0	214	0,0	119	0,0	211	0,0	303	0,0	395	0,0	487	0,0	1959	0,0	2327	0,0	5547	0,0	23754	0,1		0	0	704	2	857	2		1,20	1,20	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	21,7	8,50	3,0
2	0072	Harlingen	0,0977	2,4	0,3601	18,1	0,2704	17,2	1	17,7	286		217	2,1	323	2,1		191	11,0	191	11,0																				0	0	694	5	800	4		1,55	1,55	29,2	0,00	0,0	1,10	0,0		83,87	7,7	75,80	7,8	51,11	14,5	4,95	3,1
2	0074	Heerenveen	0,1087	-0,6	0,3587	-2,0	0,2862	-2,1	1	-2,0	430		220	4,3	285	3,3		190	5,0	253	4,6	594	5,0	594	5,0	814	4,9	1034	4,9	1254	4,9	4114	4,7	4754	4,7	10354	4,6	32754	2,3		0	0	840	2	968	2		1,00	2,35	0,0	0,00	0,0	1,80	0,0		83,85	7,7	75,80	7,8	51,10	14,5	9,20	3,4
2	0080	Leeuwarden	0,1105	9,2	0,4905	5,9	0,3924	5,9	1	5,9	359		210	0,7	324	0,7		137	-5,9	169	-5,7																				0	0	705	3	851	3		1,65	1,65	0,0	81,90	7,3	3,00	0,0		83,80	7,6	75,80	7,7	51,10	14,5	15,90	7,4
2	1970	Noardeast-Fryslân	0,1179	2,9	0,2686	9,7	0,2048	9,5	0	9,6	385		167	-14,5	237	-14,5		240	0,0	240	0,0	240	0,0	261	0,0	261	0,0	304	0,0	325	0,0	516	0,0	580	0,0	1067	0,0	4461	0,0		0	0	793	-2	863	-3		1,50	1,50	0,0	0,00	0,0	2,40	0,0		83,85	7,8	75,80	7,8	48,15	7,8	8,70	3,0
2	0085	Ooststellingwerf	0,0741	-5,1	0,0951	6,9	0,0793	was vorig jaar 0	0	96,1	268		219	32,4	279	23,7		171	3,1	296	3,1	248	138,9	389	274,8	508	12,4	627	10,4	746	9,1	2411	16,5	2691	14,9	4871	9,2	11391	6,0		0	0	657	7	844	6		1,10	1,50	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	7,50	0,0
2	0086	Opsterland	0,0808	3,3	0,1817	-0,2	0,1473	0,0	0	-0,1	309		199	-0,8	241	-0,6		211	0,0	277	0,0	197	0,0	289	0,0	289	0,0	289	0,0	289	0,0	1187	0,0	1187	0,0	2084	0,0	8711	0,0		0	0	719	1	826	1		2,64	3,43	3,8	0,00	0,0	0,00	0,0		83,50	7,7	75,50	7,9	51,00	22,9	8,00	0,0
2	0088	Schiermonnikoog	0,0983	22,0	0,2227	6,1	0,1792	6,1	0	6,1	454		258	2,0	337	2,0		130	2,0	188	2,0	164	2,0	270	1,9	464	2,0	570	1,9	676	1,9	2372	1,9	2796	1,9	6506	1,9	31946	1,9		0	0	842	12	979	10		1,93	1,93	2,1	0,00	0,0	0,00	0,0		83,85	12,2	75,80	12,2	51,11	14,5	5,00	1,2
2	0090	Smallingerland	0,1052	4,9	0,3822	5,1	0,3061	8,3	1	6,5	368		251	6,8	295	6,5		296	3,9	296	3,9	296	3,9	296	3,9	296	3,9	296	3,9	296	3,9	296	3,9	296	3,9	296	3,9	296	3,9		0	0	915	5	959	5		1,60	1,60	6,7	77,00	4,1	2,00	5,3		83,00	7,8	75,00	7,1	48,15	7,8	7,50	4,2
2	1900	Súdwest Fryslân	0,1102	6,9	0,3238	6,9	0,2590	6,6	1	6,8	383		240	6,4	287	6,4		203	6,6	203	6,6	299	7,0	299	7,0	299	7,0	299	7,0	299	7,0	299	7,0	299	7,0	299	7,0	299	7,0		0	0	826	7	873	7		1,25	1,25	0,0	0,00	0,0	0,96	20,0		83,85	7,7	75,80	7,8	51,10	14,5	12,20	7,0
2	0093	Terschelling	0,0880	14,9	0,3750	23,2	0,2950	37,3	1	29,0	440		242	12,3	242	12,3		191	5,8	191	5,8	381	111,7	438	85,2	552	57,9	666	44,0	780	35,5	2604	9,3	3060	7,9	7050	3,8	34410	1,5		0	0	873	12	873	12		2,10	2,10	9,4	0,00	0,0	0,00	0,0		83,87	7,8	75,80	7,8	43,17	16,5	4,56	9,4
2	0737	Tytsjerksteradiel	0,1499	4,1	0,3158	0,7	0,2731	2,3	1	1,4	504		197	1,9	282	1,7		145	2,5	161	2,3	191	2,6	191	2,6	191	2,6	191	2,6	191	2,6	191	2,6	191	2,6	191	2,6	191	2,6		0	0	847	3	948	3		1,50	1,50	0,0	0,00	0,0	0,00	0,0		83,85	7,9	75,80	7,8	51,10	14,5	16,60	5,7
2	0096	Vlieland	0,0662	4,2	0,2142	5,5	0,2031	4,0	0	4,8	353		266	4,3	355	4,4		116	5,0	174	5,0	116	5,0	232	5,0	347	5,0	463	5,0	579	5,0	3457	4,8	3457	4,8	6915	4,9	34573	5,0		0	0	735	4	882	4		2,20	2,20	4,3	86,71	4,4	0,00	0,0		83,00	7,8	75,00	7,1	51,10	14,5	0,00	0,0
2	1949	Waadhoeke	0,1180	9,9	0,2424	9,9	0,1706	11,9	0	10,7	343		250	-0,3	313	-0,3		263	10,0	329	10,0	461	10,0	461	10,0	461	10,0	461	10,0	461	10,0	461	10,0	461	10,0	461	10,0	461	10,0		0	0	857	7	985	6		0,00	0,00	0,0	0,00	0,0	1,20	0,0		83,85	7,7	75,80	7,8	51,10	14,5	9,30	0,0
2	0098	Weststellingwerf	0,0900	3,5	0,2204	5,8	0,2148	6,0	0	5,9	329		199	3,1	299	3,1		191	0,0	191	0,0	382	100,0	382	100,0	382	100,0	382	100,0	382	100,0	382	100,0	382	100,0	382	100,0	382	100,0		0	0	719	2	819	3		2,11	5,48	3,8	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,7	51,10	14,5	8,90	2,9
3	1680	Aa en Hunze	0,0933	2,4	0,2271	7,4	0,1026	4,8	0	6,6	370		199	6,0	265	6,0		165	2,5	165	2,5																				0	0	734	3	800	4		1,25	1,25	0,0	0,00	0,0	0,00	0,0		83,85	7,9	75,80	7,8	51,10	14,5	9,00	4,1
3	0106	Assen	0,1456	10,0	0,4645	8,3	0,3763	8,5	1	8,4	493		193	1,0	267	0,8		179	4,0	179	4,0	179	4,0	179	4,0	179	4,0	179	4,0	179	4,0	1795	8,1	2199	8,2	5734	8,5	29574	8,7		0	0	865	7	939	6		1,50	1,50	3,5	0,00	0,0	2,50	4,2		83,87	7,7	75,80	7,7	51,11	14,5	20,57	5,7
3	1681	Borger-Odoorn	0,1592	3,3	0,1592	2,4	0,1302	0,5	0	1,5	543		198	7,3	238	6,0		265	-0,5	265	-0,5																				0	0	1.005	3	1.046	3		1,30	1,75	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,50	7,3	51,10	14,5	10,00	2,6
3	0109	Coevorden	0,1390	3,6	0,2292	7,2	0,1910	7,2	0	7,2	483		269	6,0	324	6,0		229	3,0	229	3,0																				0	0	981	4	1.036	4		1,35	1,35	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	9,85	3,7
3	1690	De Wolden	0,0859	2,4	0,2034	2,3	0,1666	3,6	0	2,9	391		171	15,7	241	15,2		212	0,6	236	0,7	236	0,7	236	0,7	354	0,7	472	0,7	588	0,5	2444	0,1	2908	0,1	5843	0,5	8733	0,9		0	0	774	5	868	5		1,21	1,21	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	11,25	3,2
3	0114	Emmen	0,1369	1,0	0,3402	3,1	0,2762	0,5	1	1,9	414		252	0,0	284	0,0		236	9,3	236	9,3																				0	0	902	3	934	3		1,65	1,65	3,1	0,00	0,0	2,26	0,0		83,85	7,7	75,80	7,8	51,10	14,5	13,85	2,2
3	0118	Hoogeveen	0,1446	4,6	0,3289	-3,7	0,2506	-2,4	1	-3,1	477		204	0,0	287	0,0		159	3,1	159	3,1																				0	0	840	3	923	3		1,50	1,50	0,0	0,00	0,0	1,90	2,7		83,85	7,7	75,50	7,3	51,10	14,5	11,25	3,2
3	0119	Meppel	0,1140	14,1	0,4460	19,6	0,3270	17,6	1	18,7	421		218	2,8	218	2,8		183	3,4	183	3,4	183	3,4	183	3,4	183	3,4	183	3,4	183	3,4	183	3,4	183	3,4	183	3,4	183	3,4		0	0	822	8	822	8		0,00	0,00	0,0	0,00	0,0	2,05	5,1		83,85	7,7	75,80	7,8	51,10	14,5	12,15	3,4
3	1731	Midden-Drenthe	0,0976	8,6	0,2560	8,1	0,2049	8,1	0	8,1	367		194	5,5	239	4,4		239	0,0	239	0,0	239	0,0	239	0,0	239	0,0	239	0,0	239	0,0	831	0,0	979	0,0	2274	0,0	9554	0,0		0	0	799	5	844	5		1,55	1,55	19,2	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	9,05	1,7
3	1699	Noordenveld	0,0952	4,4	0,0952	6,7	0,1518	14,2	0	11,2	397		240	11,1	281	9,3		298	7,5	298	7,5																				0	0	935	7	976	7		1,10	1,75	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	7,55	2,7
3	1701	Westerveld	0,0945	-0,5	0,1947	2,2	0,1293	2,6	0	2,4	421		208	1,9	302	-2,6		220	-1,9	220	-1,9																				0	0	849	0	943	-1		1,35	1,90	5,6	0,00	0,0	0,00	0,0		83,85	7,9	75,80	7,8	51,10	14,5	8,40	3,1
3	1730	Tynaarlo	0,0832	3,3	0,1745	2,2	0,1095	2,2	0	2,2	381		188	25,3	222	20,7		189	7,4	189	7,4	189	7,4	189	7,4	189	7,4	366	7,4	366	7,4	1661	7,4	2092	7,4	5868	7,4	26502	7,4		0	0	759	9	792	9		1,15	1,50	0,0	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	17,00	-18,3
4	0141	Almelo	0,1183	4,3	0,3966	-3,1	0,3071	-3,9	1	-3,4	422		264	2,0	287	2,0		311	3,7	333	3,7	455	3,7	455	3,7	506	3,7	557	3,6	608	3,6	1373	3,6	1628	3,6	3413	3,6	15653	3,5		0	0	996	3	1.041	3		1,00	1,65	6,5	0,00	0,0	2,28	0,0		83,87	7,7	75,80	7,7	48,15	7,8	23,80	15,0
4	0147	Borne	0,1374	11,3	0,4507	8,9	0,3529	7,0	1	8,1	612		191	1,8	220	3,2		218	16,4	218	16,4	218	16,4	218	16,4	218	16,4	218	16,4	218	16,4	1088	17,1	1088	17,1	2612	17,3	13061	17,3		0	0	1.021	10	1.050	10		0,00	0,00	0,0	0,00	0,0	0,00	0,0		83,87	7,7	75,80	7,7	51,10	14,5	10,40	13,0
4	0148	Dalfsen	0,0985	10,8	0,2312	2,8	0,2211	1,4	0	2,1	472		229	2,4	258	2,3		143	3,4	143	3,4	143	3,4	143	3,4	143	3,4	143	3,4	143	3,4	733	3,2	733	3,2	2163	3,0	7923	3,3		0	0	845	7	874	7		0,95	1,45	3,6	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	7,95	2,6
4	1774	Dinkelland	0,0993	1,4	0,2804	6,4	0,2236	7,3	1	6,8	463		186	37,9	213	31,4		281	5,7	281	5,7	281	5,7	281	5,7	281	5,7	302	5,2	323	4,9	664	-81,9	749	-82,1	1495	-64,2	6607	58,2		26	26	903	5	931	5		0,60	1,60	0,0	0,00	0,0	0,00	0,0		83,50	7,7	75,00	11,1	48,15	13,3	6,50	8,3
4	0150	Deventer	0,1083	4,2	0,3917	3,7	0,2738	-2,3	1	1,1	460		246	2,5	288	2,1		192	6,0	192	6,0	192	6,0	192	6,0	192	6,0	192	6,0	192	6,0	708	5,8	708	5,8	1668	5,9	3705	5,9		0	0	898	4	940	4		0,54	1,83	7,7	0,00	0,0	3,33	11,0		83,87	7,7	75,80	7,8	51,11	22,9	15,95	7,8
4	0153	Enschede	0,1082	4,2	0,4793	1,8	0,3836	1,2	1	1,5	414		280	10,6	307	9,6		292	3,9	292	3,9	292	3,9	292	3,9	292	3,9	292	3,9	292	3,9	772	3,6	892	3,6	1942	3,5	8065	9,9		0	0	986	6	1.013	6		1,10	2,90	3,6	93,60	3,9	3,75	13,6		83,87	7,7	75,80	7,7	51,10	14,5	19,00	5,0
4	0158	Haaksbergen	0,1141	6,9	0,3396	5,9	0,2609	5,9	1	5,9	487		229	2,0	229	2,0		379	8,9	379	8,9	379	8,9	379	8,9	379	8,9	379	8,9	379	8,9	1239	8,9	1239	8,9	2745	8,9	13067	8,9		0	0	1.095	7	1.095	7		1,20	1,70	3,0	0,00	0,0	0,00	0,0		83,87	7,7	75,80	7,7	51,10	14,5	8,10	3,9
4	0160	Hardenberg	0,0856	2,3	0,2894	4,8	0,2494	4,9	1	4,8	322		211	1,4	253	1,2		289	4,3	289	4,3	289	4,3	289	4,3	289	4,3	289	4,3	289	4,3	1797	4,2	1797	4,2	2424	4,1	7440	4,0		0	0	822	3	864	3		1,05	1,05	0,0	0,00	0,0	1,15	0,0		83,85	7,7	75,80	7,8	51,10	14,5	13,70	4,6
4	0163	Hellendoorn	0,1028	4,0	0,3060	4,0	0,2496	4,0	1	4,0	458		268	7,5	268	7,5		263	7,5	263	7,5	263	7,5	263	7,5	263	7,5	263	7,5	263	7,5	2097	7,5	2097	7,5	5309	7,5	27329	7,5		0	0	989	6	989	6		0,82	1,96	2,6	0,00	0,0	0,00	0,0		83,85	7,7	75,80	7,8	51,10	14,5	13,80	7,4
